,Name,IMBD_rating,Year
0,Rang De Basanti,8.1,2006
1,3 Idiots,8.4,2009
2,Taare Zameen Par,8.4,2007
3,Dil Chahta Hai,8.1,2001
4,"Swades: We, the People",8.2,2004
5,Lagaan: Once Upon a Time in India,8.1,2001
6,Gangs of Wasseypur,8.2,2012
7,Barfi!,8.1,2012
8,Anand,8.3,1971
9,Munna Bhai M.B.B.S.,8.1,2003
10,A Wednesday,8.1,2008
11,Andaz Apna Apna,8.2,1994
12,Sholay,8.2,1975
13,Bhaag Milkha Bhaag,8.2,2013
14,Hera Pheri,8.2,2000
15,Udaan,8.2,2010
16,Kahaani,8.1,2012
17,Black,8.2,2005
18,Chak De! India,8.2,2007
19,Khosla Ka Ghosla!,8.3,2006
20,Jo Jeeta Wohi Sikandar,8.2,1992
21,Zindagi Na Milegi Dobara,8.1,2011
22,Paan Singh Tomar,8.2,2012
23,Dilwale Dulhania Le Jayenge,8.1,1995
24,Omkara,8.1,2006
25,Lage Raho Munna Bhai,8,2006
26,Iqbal,8.1,2005
27,The Lunchbox,7.8,2013
28,Black Friday,8.5,2004
29,Company,8,2002
30,Gol Maal,8.6,1979
31,Dev.D,8,2009
32,Jaane Bhi Do Yaaro,8.4,1983
33,OMG: Oh My God!,8.1,2012
34,Mughal-E-Azam,8.2,1960
35,Gulaal,8.1,2009
36,Dor,7.9,2006
37,Jab We Met,7.9,2007
38,Pyaasa,8.5,1957
39,The Legend of Bhagat Singh,8.1,2002
40,Masoom,8.4,1983
41,Salaam Bombay!,8,1988
42,Satya,8.2,1998
43,Vicky Donor,7.8,2012
44,Lakshya,7.9,2004
45,Vaastav: The Reality,8,1999
46,Kal Ho Naa Ho,7.9,2003
47,Oye Lucky! Lucky Oye!,7.7,2008
48,Sarfarosh,8.1,1999
49,Gangaajal,7.8,2003
50,Angoor,8.3,1982
51,Madras Cafe,7.7,2013
52,English Vinglish,7.8,2012
53,Chupke Chupke,8.3,1975
54,Johnny Gaddaar,7.8,2007
55,Maqbool,8.1,2003
56,Hazaaron Khwaishein Aisi,7.9,2003
57,Rock On!!,7.7,2008
58,Don,7.8,1978
59,Chhoti Si Baat,8.3,1976
60,Guide,8.4,1965
61,Raanjhanaa,7.6,2013
62,Deewaar,8.1,1975
63,Special Chabbis,8,2013
64,Padosan,8.1,1968
65,Mumbai Meri Jaan,7.7,2008
66,Ab Tak Chhappan,7.8,2004
67,Kai po che!,7.7,2013
68,Awaara,7.9,1951
69,Shree 420,8,1955
70,Earth,7.7,1998
71,Gunda,7.3,1998
72,Parinda,7.8,1989
73,Dasvidaniya,7.8,2008
74,Hey Ram,7.9,2000
75,Pinjar: Beyond Boundaries...,8,2003
76,Socha Na Tha,7.4,2005
77,Guru,7.7,2007
78,Bawarchi,8.1,1972
79,Manorama: Six Feet Under,7.6,2007
80,Mr. India,7.8,1987
81,Aamir,7.7,2008
82,Zakhm,7.9,1998
83,Water,7.7,I) (2005
84,Stanley Ka Dabba,7.8,2011
85,Agneepath,7.7,1990
86,My Name Is Khan,8,2010
87,Qayamat Se Qayamat Tak,7.5,1988
88,3 Deewarein,7.8,2003
89,Abhimaan,7.9,1973
90,Sarkar,7.6,2005
91,Bheja Fry,7.6,2007
92,Mother India,8.1,1957
93,Jaane Tu... Ya Jaane Na,7.5,2008
94,Delhi Belly,7.6,2011
95,Wake Up Sid,7.6,2009
96,Rangeela,7.5,1995
97,Shatranj Ke Khilari,7.7,1977
98,Pyaar Ka Punchnama,7.6,2011
99,Ek Hasina Thi,7.5,2004
