,Title,Company,Location,Experience
0,Data Scientist / Data Analyst -Business Analyst,Inflexion Analytix Private Limited,"Mumbai, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru",0-3 Yrs
1,Data Analyst - Informatica MDM,Shell India Markets Private Limited,Bangalore/Bengaluru,6-9 Yrs
2,Assistant Vice President - MIS & Reporting ( Business Data Analyst),INTERTRUSTVITEOS CORPORATE AND FUND SERVICES PVT. LTD.,"Mumbai, Bangalore/Bengaluru",12-18 Yrs
3,Data Analyst,Myntra Designs Pvt. Ltd.,Bangalore/Bengaluru,3-6 Yrs
4,Data Analyst,Myntra Designs Pvt. Ltd.,Bangalore/Bengaluru,3-6 Yrs
5,Data Analyst,Myntra Designs Pvt. Ltd.,Bangalore/Bengaluru,4-9 Yrs
6,Data Analyst,Myntra Designs Pvt. Ltd.,Bangalore/Bengaluru,4-8 Yrs
7,Data Analyst,SA Tech Software (I) Pvt. Ltd.,"Kolkata, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",1-3 Yrs
8,Senior/Regular Business Analyst / Data Analyst,Luxoft,Bangalore/Bengaluru,3-6 Yrs
9,Data Analyst,Flipkart Internet Private Limited,Bangalore/Bengaluru,1-3 Yrs
