,Title,Comapny,Location,Description
0,Data Scientist / Data Analyst -Business Analyst,Inflexion Analytix Private Limited,"Mumbai, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru","Job description
Job Role : Data Scientist/Data Analyst /Business Analyst

Location : Chennai/Bangalore/Hyderabad/Pune/Mumbai/Delhi

Greetings from CAIA - Center for Artificial Intelligence & Advanced Analytics
43% of companies experienced a high deficit of skilled resources with Advanced Analytical skills and AI implementing capabilities in year 2020. CAIA gives you a great opportunity to enter the world of future technologies and Innovations- Data Science, Analytics, AI, Data Visualization and Cloud Computing.

While 2020 was a year like no other, we are living in an interesting times where data is reshaping the world, and businesses are rapidly adopting technology to gain an edge over others. Hence, there's a substantial increase in demand for technology professionals who can implement systems in data science, machine learning and AI in Tier 1 and Tier 2 organization's working closely with us.

To help you build a sustainable career we would like you to utilize data, software and Analytical approaches in Data Science and AI to up skill and get recruited into an organization appreciating your skilling journey.
Applications invited from all Freshers and experienced candidates (0-3 yrs) aspiring to make a career in Artificial Intelligence and Advanced Analytics and Data Science.
If you wish to make a shift in your career or undergo a career transition, upskilling is essential since it allows you to learn more about the domain and acquire the required skills.

Call to schedule interview Monday -Saturday from 10:00 am to 7Pm

Manigandan -+91 7299917200

Email : manigandan@centerforaia.com

What is needed from you?

Freshers who wish to start their career in Analytics and AI and professionals who wish to
upskill or change their domain to analytics and emerging technologies are free to apply.
An Educational background in any one of the following- BE/B.Tech, ME/M Tech, MSc, BSc/MSc Maths and Statistics, B Com, BCA, BSc CS, BSC IT, MSC IT, MCA
Skills relating to Mathematics/Statistics.
Natural passion towards numbers, business, coding, Analytics and Artificial Intelligence, Machine Learning, visualization
Good verbal and written communication skills
Ability to understand domains in businesses across various sectors


Selection procedure includes

Aptitude Test & Communication Exam - Online / Offline
SQL/Python test - Online / Offline

Candidates who clears the above will have one-one discussion with our Career Guidance Manager for further evaluation and processing of your Resume.


All the Shortlisted candidates will be eligible to continue the corporate training with CAIA
What you can expect from us?

You will get trained on the following modules for a period of 12-14 weeks:

SQL & PLSQL
Data Wrangling using Python
Data Visualization Using Power-BI
Statistics for Machine Learning
Artificial Intelligence, Data Interpretation
Supervised & Unsupervised Learning,
NLP & Deep Learning
Cloud Data Lake
Business intelligence & Data Visualization
Simulation Projects
Expected Outcome?

At the end of the Training you are expected to be well versed with the following:

Analysis of large and complex data sets from multiple sources
Development and evaluation of data analytics models, algorithms and solutions
Understanding/implementation of ML algorithms, performance tuning and reporting
Implementation of algorithms to mine targeted data and the ability to convert data in to a business story
Translation of business requirements into technical requirements; Data extraction, preparation and transformation
Identification, development and implementation of statistical techniques and algorithms that address business challenges and adds value to the organization
Requirement Analysis and communication of findings in the form of a meaningful story with the stakeholders
Finding analytical solutions to abstract business issues.
Apply objective analysis of facts before coming to a conclusion

About CAIA - Inflexion Analytix Private Limited

Center for Artificial Intelligence and Advanced Analytics (Center for AIA) is the brainchild of experienced and visionary alumni of IIT Madras and Bombay.
Digital leaders - 5F World and Systech Solutions have joined hands to create a venture for architecting the future of society, workforce, governments and businesses. 5F World specializes in designing solutions around digital platforms and Systech Solutions has an expertise in architecting Artificial Intelligence and Advance Analytics solutions for Fortune 500 companies.
Our Website : http://www.centerforaia.com/

https://inflexion-analytix-private-limited.business.site/?m=true

Center for Artificial Intelligence & Advanced Analytics (CAIA) focuses on the following:

1. Global Research on emerging trends, technologies and applications in AI and Advanced Analytics
2. Advanced Training programs for readying the future ready workforce
3. Solutions to herald the futuristic lifestyle and workspaces in the field of AI and Data Science.
RoleData Analyst
Industry TypeBPO / Call Centre
Functional AreaAnalytics & Business Intelligence
Employment TypeFull Time, Permanent
Role CategoryAnalytics & BI
Education
UG :Any Graduate in Any Specialization
Key Skills
Business IntelligenceArtificial IntelligenceBig DataITMachine LearningStatisticsDeep LearningAnalyticsBusiness AnalysisSQLData ScienceNLPCloud ComputingData VisualizationSoftwareData WarehousingPython"
1,"Senior Data Scientist, Modeling",Nielsen,"Kolkata, Gurgaon/Gurugram, Bangalore/Bengaluru, Vadodara, Mumbai (All Areas)","Job description
We wont say we can predict the future, but our team of Analysts get pretty close, they turn millions of data points into useful information & insights that help our clients to make better decisions on their marketing mix and achieve superior results. Be part of the future and join in on one of the major transformations in the market research industry with the integration of big data and classic marketing mix analysis.

Responsibilities:
Deliver as a part of our consultant team in driving high quality results on custom project work
Ensure effective and timely delivery of project work
Work towards understanding statistical models and deliver business insights and findings
Ensure compliance to Marketing Mix Modeling modeling practices and company quality standards
Maximize the efficient and effective use of resources by utilizing appropriate processes and tools
To build and maintain effective contacts with other departments to ensure the efficient and effective use of resources
Liaise with appropriate Marketing Mix Modeling and Nielsen departments to ensure hardware and software requirements are fulfilled
Work with co/ third party modellers to deliver business insights and findings

Qualifications and Skills
2-5 years of relevant experience
Masters degree in Economics, Mathematics, Statistics, Engineering
In-depth understanding of statistical modeling techniques and applications
Good and working knowledge of any statistical languages like SAS, R, Pythons
Solid proficiency of decision making and problem resolution skills
Passion for results with a challenger mindset

About the Team:
Global Product, Technology & Operations supports Nielsen Medias growth strategy by enabling positive client and market solutions. Our Operations Team is in a unique position as the center of data collection, analysis and delivery. We deliver outcomes with the highest quality and integrity standards in an agile and transparent way while standing by our Nielsen values.


RoleBusiness Analyst
Industry TypeAnalytics / KPO / Research
Functional AreaStrategy, Management Consulting, Corporate Planning
Employment TypeFull Time, Permanent
Role CategoryCorporate Planning/Consulting/Strategy
Education
PG :M.A in Economics, MS/M.Sc(Science) in Statistics, Maths, MBA/PGDM in Any Specialization
Key Skills
Predictive ModelingSASSegmentationK-MeansStatisticsOptimizationRandom ForestRMarketing Mix ModelingLinear RegressionStatistical ModelingBusiness InsightsMarket Research"
2,-,-,"Kochi/Cochin, Indore, Hyderabad/Secunderabad, Pune, Ahmedabad, Bangalore/Bengaluru, Mumbai (All Areas)",-
3,Specialist I - Data Scientist,Philips India Limited,Bangalore/Bengaluru,"Job description
Responsibilities and Key Result Areas
Design and develop project prototypes and solutions.
Participate in project estimation, planning and risk management activities
Is responsible for delivering input in the planning process to the project leader
Ensures that there is proper documentation for the developed solutions.
Ensure compliance to the Quality Management System and regulatory requirements
Key Technical Skills:
4 - 7 yrs years of experience in data science
Developed Proficient in algorithms on regression modelling (linear/logistic), supervised and unsupervised classification,
tree-based techniques (Decision trees /Random forest), neural nets, bagging, Pattern Mining and boosting techniques, etc.
Proficient and hands on experience in developing models using concepts of Artificial Intelligence,
Machine Learning and Deep Learning related technologies (such as Keras, TensorFlow, pyTorch, Azure ML, AWS ML, Scikit, Jupyter, MatLab etc.)
Experience with containers like Docker is added advantage
Experience in Sql
Working experience in agile/SAFe development methodologies
Soft Skill set:
Fast learner. Ability to grasp key concepts quickly with minimal or no supervision
Go-Getter Attitude. Ability to take ownership of team goals and deliver it with quality and within required timeline
Team Player attitude. Key characteristic of the individual who puts the team first before self.
Ability to think out of box: Ability to come up with bright ideas and always looking at the next big thing in technology
Flexible and willingness to stretch oneself when needed.
RoleSoftware Developer
Industry TypeMedical Services / Hospital
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate in Any Specialization
PG :Post Graduation Not Required
Key Skills
Miningdeep learningdata scienceArtificial IntelligenceMachine learningAgileHTMLRisk managementMATLABSQL"
4,-,-,Bangalore/Bengaluru,-
5,Lead Data Scientist,Intel Technology India Pvt Ltd,Bangalore/Bengaluru,"Job description


We are seeking an outstanding Lead Data Scientist in AI/ML who will help our team continue to grow and bring high value to Intel. In this role you should demonstrate excellent problem formulation/definition skills in addition to technical skills. The ideal candidate should be:

A professional role model with deep and wide expertise in state-of-the-art AI/ML techniques, a passion for solving challenging data science problems and extensive hands-on experience.
Be detail-oriented and have an aptitude for solving unstructured problems. You should be excellent in coming up with different approaches to solve business problem using AI and evaluate the trade-off between them.
Be self-directed, take charge of opportunities with business impact and drive them to completion.
Have prior experience in guiding a team of data scientists, coaching and mentoring them.
Have deep technical expertise in feature-engineering of massive datasets, effective exploratory data analysis, and model building using AI/ML techniques.
Be a role model innovator by adapting new AI/ML modeling techniques and procedures.
Have deep expertise in creation and management of datasets.
Have excellent business and communication skills to be able to work with stakeholders like the business teams, engineering teams and partner teams and align them with respect to your focus area.
Have the ability to manage and execute an entire AI project from start to finish, including problem solving, data gathering and manipulation, predictive modeling, and project management skills.
Be a role-model in storytelling with data and articulating the AI problems in an understandable manner to senior leadership of the Business Units.

You will be a part of the large global AI/ML Research Scientist community and will have access to state-of-the-art training, tools, and methods of the domain.


Candidates need to hold at least a masters degree (or higher) in Computer Science/Machine Learning/AI/Data Science
8 years of relevant experience in building AI/ML models and in using Python (Scikit-learn, TensorFlow/Pytorch) and SQL (or equivalent).
Experience in using data analysis techniques and ML methods like classification, regression pattern finding, clustering, dimensionality reduction, anomaly detection etc.
Experience with Hadoop, Spark is an advantage
Deep Knowledge of classical AI algorithms and Deep Learning techniques is a must.
Great analytical skills and demonstrated ability of independent and creative thinking.
Highly motivated strong team player with the ability to work both independently and collaboratively within a team.
Has strong analytical skills, including the abilities to scope out business problems to be solved, start from ambiguous problem statements, identify and access relevant data, make appropriate assumptions, perform insightful analysis and draw conclusions relevant to the business problem.
Ability to present information professionally and concisely with supporting data.
Previous experience as a data scientist in semi-conductor industry or data intensive organizations is a plus.
Experience in creating powerful data driven visualizations to describe ML modeling results to stakeholders.
RoleTeam Lead/Technical Lead
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design
Education
UG :Any Graduate in Any Specialization
PG :Any Postgraduate in Any Specialization
Key Skills
Computer scienceData analysisFormulationArtificial IntelligenceMachine learningSignal processingPredictive modelingForecastingSQLPython"
6,-,-,Bangalore/Bengaluru,-
7,SDE Lead Data Scientist-L3,Huawei Technologies India Pvt Ltd,Bangalore/Bengaluru,"Job description
Business & Team overview:
Founded in 1987, Huawei is a leading global provider of ICT (information and communications technology) infrastructure and smart devices. We are committed to bringing digital to every person, home and organization for a fully connected, intelligent world. We have nearly 194,000 employees, and we operate in more than 170 countries and regions, serving more than 3 billion people around the world.

Huawei Technologies has three business directions: Carrier Business Group, which provides innovative and secure network equipment to telecom carriers, including the leading 5G mobile network.
Enterprise Business Group, which provides facilities and solutions to big and small companies, including IT facilities.
Consumer Business Groups, which provides devices to the customer, including mobile phones, PC, tablet, TV, audio, glasses, watches, locomotives, and headphones. And also provide solutions on mobile offices, smart homes, sports and health, audio-visual entertainment, and smart travel products.

This opportunity is belong to Huawei Consumer Business Group.

Driven by the coordinated development of ""Chip-Device-Cloud"", consumer products such as smartphones are becoming increasingly intelligent and pervasive. The era of smart services is the future.

Huawei Ads Services is dedicated to provide Huawei end-users with high-quality digital experiences, to build a business closed-loop system for Developers and Improve the ROI for the Advertisers
.
In 2020 Q1, along with more than 650 million users and 1,400,000 registered developers worldwide, we have the following unique advantages:
1. With All-scenario intelligent solution, the Huawei devices become super entrance of traffic, including mobile phones, PC, tablet, TV, audio, glasses, watches, locomotives, and head phones
2. This team will be responsible for building a new Ad Serving Platform and have the opportunity to define the product for our Huawei end-users.
3. AI-Driven is the direction of Ads, Huawei is going to build a strong team in India to Innovate and deliver AI-driven Smart Ad Serving Platforms

Job Title: Lead Data Scientist
We are looking for a Lead data scientist who will help us discover the information hidden in vast amounts of Ad Campaign data, and help us to optimize the campaign to improve the advertiser ROI and improve the overall consumer experience. Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality prediction systems using Deep learning algorithms integrated with our products. Some the key area you will be working on spend recommendation, floor price prediction, CTR/CVR prediction, market funnel analysis and perdition of lead to conversion, etc.

Responsibility:
Analyze the data, develop insights and identify the opportunity to utilize the data to predict various Advertisement key indicators like CTR, CVR, Inventory and Develop prediction and optimization algorithms for campaign, look alike modeling, etc for Huawei Ads.
Takeup key challenges in AI-driven Smart Ad Serving Platform and focus on research and developing leading AI algorithms and productionize for Huawei Ads.
Takeup initiative in identifying the SOTA and finding key gaps in AI algorithms and develop a world leading AI algorithms for optimizing real-time Ad Serving engine. Identify and optimize the core modules such as Traffic Prediction, Optimization, Ad Targeting/Re-targeting, Ad Performance Optimization, Audience insights, Attribution, Bidding, re-ranking, and Diagnostics. Support hundreds of billions of ad requests per day, with efficiently cache technology.
To build and enhance Ad platform features and Prediction capabilities in Huawei Ads Platform
Optimized Cost Per Mille; Optimized Cost Per Action; Optimized Cost Per Click and Cost per Click. OCPM, OCPA, OCPC.

Requirements:
- Strong hands-on experience in implementing and validating big data algorithms and models including Deep Learning models like Seq2Seq/ GRU/RNN/LSTM , Knowledge Graph, Massive Graph algorithms, etc.
- Programming experience with Python
- Able to validate existing models including Deep Learning models with large scale dataset and able to make changes to the models to achieve better performance
- AdServing domain Experience is an added advantage
RoleAnalytics Manager
Industry TypeTelecom / ISP
Functional AreaAnalytics & Business Intelligence
Employment TypeFull Time, Permanent
Role CategoryAnalytics & BI
Education
UG :Any Graduate in Any Specialization
PG :Any Postgraduate in Any Specialization
Key Skills
RnnAlgorithmsLstmArtificial IntelligenceData ScientistBig DataData MiningStatistical AnalysisDeep LearningPython"
8,Computational Design Lead Data Scientist-L3,Huawei Technologies India Pvt Ltd,Bangalore/Bengaluru,"Job description
Business & Team overview:
Founded in 1987, Huawei is a leading global provider of ICT (information and communications technology) infrastructure and smart devices. We are committed to bringing digital to every person, home and organization for a fully connected, intelligent world. We have nearly 194,000 employees, and we operate in more than 170 countries and regions, serving more than 3 billion people around the world.

Huawei Technologies has three business directions: Carrier Business Group, which provides innovative and secure network equipment to telecom carriers, including the leading 5G mobile network.
Enterprise Business Group, which provides facilities and solutions to big and small companies, including IT facilities.
Consumer Business Groups, which provides devices to the customer, including mobile phones, PC, tablet, TV, audio, glasses, watches, locomotives, and headphones. And also provide solutions on mobile offices, smart homes, sports and health, audio-visual entertainment, and smart travel products.

This opportunity is belong to Huawei Consumer Business Group.

Driven by the coordinated development of ""Chip-Device-Cloud"", consumer products such as smartphones are becoming increasingly intelligent and pervasive. The era of smart services is the future.
Huawei Ads Services is dedicated to provide Huawei end-users with high-quality digital experiences, to build a business closed-loop system for Developers and Improve the ROI for the Advertisers
.
In 2020 Q1, along with more than 650 million users and 1,400,000 registered developers worldwide, we have the following unique advantages:
1. With All-scenario intelligent solution, the Huawei devices become super entrance of traffic, including mobile phones, PC, tablet, TV, audio, glasses, watches, locomotives, and head phones
2. This team will be responsible for building a new Ad Serving Platform and have the opportunity to define the product for our Huawei end-users.
3. AI-Driven is the direction of Ads, Huawei is going to build a strong team in India to Innovate and deliver AI-driven Smart Ad Serving Platforms

1. Job Title: Computational Design Lead Data Scientist

Responsibility:
Take-up Key creative tools of the creative platform for Advertisers, research and develop breakthrough CNN based deep learning algorithms to solve the problem unique in the industry and productionize the algorithms, measure the ad creative performance and enhance the algorithm to ease the Ad Designer job.
Develop the common AI platforms and frameworks to ease the experimentation of the Algorithms for creative Design.
To build ability to understand the advertisers intent and provide creative assistance every step of creating all types of adverts
Responsible for intelligent identification of advertising creatives (pictures, videos) and related algorithms of content understanding.
Responsible for Image Synthesis, Intelligent Layout, Style Transfer, and other image processing, computing and visual processing, to improve the aesthetic level of advertising creativity.
Responsible for designing algorithms for suggesting how to intelligently crop and position an image for maximum effect, identify the optimal placement of text and copywriting.
Responsible for the algorithm and model of dynamic matching of advertising program creativity and dynamic creation of advertising content

Requirements:
Deep knowledge of Computational Design
Experience on Intelligent composition, including image cropping, smart layout, the Gold Ratio composition, visual extension.
Experience computer vision models, including image/video recognition and content understanding.
Experience in algorithms such as image and video segmentation, separation, synthesis, and intelligent layout with engineering platform implementation capability.
Strong Knowledge Algorithms such as Image segmentation, object detection, Image processing (filtering, noise removal, histogram thresholding, etc.), object tracking, image transformation (affine transform, dewarping), keypoint detection/description, etc (and experience in using Computer vision Libraries)
Strong Knowledge in CNN, R-CNN, GAN, LSTM, GRU, Multimodal feature Learning, ASR, NLU, NLG, Copywriting and KG will be an added advantage
Strong logic/probability thinking ability and be good at analyzing, summarizing, describing, communicating, and solving problems
Working experience in related online advertising products/creative platform is preferred
Working experience in Computer Vision (CV) to enhance user artistic creativity while creating creatives/adverts is preferred
Ability to identify trends of advertising creative platform.


RoleData Analyst
Industry TypeTelecom / ISP
Functional AreaAnalytics & Business Intelligence
Employment TypeFull Time, Permanent
Role CategoryAnalytics & BI
Education
UG :Any Graduate in Any Specialization
PG :Any Postgraduate in Any Specialization
Key Skills
Object DetectionR-CNNCnnAlgorithmsLstmGANArtificial IntelligenceImage ProcessingData ScientistComputer VisionComputational DesignDeep Learning"
9,Hiring For DATA Scientist - ON Contract Basis (3-6 Months),GlobalEdx Learning and Technology Solution Pvt Ltd,"Hyderabad/Secunderabad, Bangalore/Bengaluru, Mumbai (All Areas)","Job description
Dear Aspirant,

Greetings from Globaledx

Roles and Responsibilities

Experience : 3+ Years
CTC : Best in Market
Location : Pan India
Contract Period : 3-6 Months
Skill : Python, NLP, Machine Learning Models, Data Scientist

Interested, please share your updated resume to hr@globaledx.com
Or Call /Whatsapp at Sowjanya : 9505072408

Please share with your friends for more reach!
RoleIT/Technical Content Developer
Industry TypeIT Services & Consulting
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryOther
Education
UG :Any Graduate in Any Specialization
Key Skills
PostgresqlDATA SCIENTISTMachine LearningScikit-LearnsqlpandasNLPoptimal codingRundeckmachine learning modelslogging frameworkshtmlNUMPYPython"
